,id,location name,type,title,features,pool,sea view,garage
32,132055,Golden Mile,houses,Exclusive Beachfront Villa Marbella Golden Mile,"Fireplace, Elevator, Terrace, Alarm system, Mountain view, Jacuzzi, Swimming pool, Air conditioning, Basement, Sauna, Gym, Guest toilet, Waterfront, Sea/lake view, Built-in kitchen",1.0,1.0,0.0
33,132854,Nagüeles,,Large estate for sale in Rocio de Nagueles,"4 bedrooms
                                , 
                                    2 reception rooms
                                , 
                                    4 bathrooms
                                , 
                                    640 sqm
                                , 
                                    Coastal
                                , 
                                    Garden
                                , 
                                    Swimming Pool
                                , 
                                    Terrace
                                , 
                                    Private Parking/Garage
                                , 
                                    0.71 acres (0.29 hectares)",1.0,0.0,1.0
34,133646,Nagüeles,houses,"13 bedroom villa for sale, Nagueles, Marbella, Malaga Costa del Sol, Marbella Golden Mile","Bedrooms: 13, Bathrooms: 12, Floor Size (m2): 672, Plot Size (m2): 4,085, Work Required: None, Swimming Pool, Gite / Additional Accommodation, Income, Parking",1.0,0.0,0.0
35,133676,Nagüeles,houses,"8 bedroom villa for sale, Nagueles, Marbella, Malaga Costa del Sol, Marbella Golden Mile","Bedrooms: 8, Bathrooms: 6, Floor Size (m2): 872, Plot Size (m2): 5,528, Work Required: Minor, Swimming Pool, Gite / Additional Accommodation, Income, Jacuzzi, Garage, Parking",1.0,0.0,1.0
36,133733,Nagüeles,houses,"5 bedroom villa for sale, Nagueles, Marbella, Malaga Costa del Sol, Marbella Golden Mile","Bedrooms: 5, Bathrooms: 4, Floor Size (m2): 382, Plot Size (m2): 858, Work Required: None, Swimming Pool, Infinity Pool, Garage",1.0,0.0,1.0
37,133780,Nagüeles,houses,"5 bedroom villa for sale, Nagueles, Marbella Golden Mile, Malaga Costa del Sol","Bedrooms: 5, Bathrooms: 6, Floor Size (m2): 338, Plot Size (m2): 2,500, Work Required: None, Swimming Pool, Gite / Additional Accommodation, Income, Garage",1.0,0.0,1.0
38,133794,Nagüeles,houses,"5 bedroom villa for sale, Nagueles, Marbella, Malaga Costa del Sol, Marbella Golden Mile","Bedrooms: 5, Bathrooms: 5, Floor Size (m2): 450, Plot Size (m2): 3,000, Work Required: None, Swimming Pool, Garage",1.0,0.0,1.0
39,133831,Golden Mile,apartments,"3 bedroom apartment for sale, El Oasis Club, Marbella Golden Mile, Malaga Costa del Sol","Bedrooms: 3, Bathrooms: 3, Floor Size (m2): 199, Work Required: None, Swimming Pool, Garage, Parking",1.0,0.0,1.0
40,133908,Nagüeles,houses,"5 bedroom villa for sale, Nagueles, Marbella Golden Mile, Malaga Costa del Sol","Bedrooms: 5, Bathrooms: 3, Floor Size (m2): 340, Plot Size (m2): 2,060, Swimming Pool, Balcony, Garage, Parking, Private / Not Overlooked",1.0,0.0,1.0
41,133938,Nagüeles,houses,"5 bedroom villa for sale, Nagueles, Marbella Golden Mile, Malaga Costa del Sol","Bedrooms: 5, Bathrooms: 5, Floor Size (m2): 434, Plot Size (m2): 1,434, Work Required: None, Swimming Pool, Gite / Additional Accommodation, Income, Garage, Parking",1.0,0.0,1.0
42,133960,Nagüeles,houses,"10 bedroom villa for sale, Nagueles, Marbella, Malaga Costa del Sol, Marbella Golden Mile","Bedrooms: 10, Bathrooms: 8, Floor Size (m2): 527, Plot Size (m2): 1,904, Work Required: None, Swimming Pool, Jacuzzi, Parking",1.0,0.0,0.0
43,133961,Golden Mile,apartments,"2 bedroom apartment for sale, Marina Mariola, Golden Mile, Malaga Costa del Sol, Andalucia","Bedrooms: 2, Bathrooms: 2, Floor Size (m2): 128, Work Required: None, Swimming Pool, Jacuzzi, Gym, Parking",1.0,0.0,0.0
44,134014,Golden Mile,apartments,"2 bedroom apartment for sale, Alhambra del Mar, Marbella Golden Mile, Malaga Costa del Sol","Bedrooms: 2, Bathrooms: 2, Floor Size (m2): 183, Work Required: None, Swimming Pool, Lake, Parking",1.0,0.0,0.0
45,134023,Nagüeles,houses,"4 bedroom villa for sale, Cortijo Nagueles, Marbella Golden Mile, Malaga Costa del Sol","Bedrooms: 4, Bathrooms: 3, Floor Size (m2): 233, Plot Size (m2): 1,400, Work Required: None, Swimming Pool, Garage",1.0,0.0,1.0
46,134051,Golden Mile,apartments,"3 bedroom penthouse for sale, Alhambra del Mar, Marbella Golden Mile, Malaga Costa del Sol","Bedrooms: 3, Bathrooms: 2, Floor Size (m2): 172, Work Required: None, Swimming Pool, Parking",1.0,0.0,0.0
47,134086,Golden Mile,apartments,"2 bedroom penthouse for sale, Mansion Club, Marbella, Malaga Costa del Sol, Marbella Golden Mile","Bedrooms: 2, Bathrooms: 2, Floor Size (m2): 157, Terrace (m2): 57, Work Required: None, Swimming Pool, Jacuzzi, Gym, Garage, Parking",1.0,0.0,1.0
48,134101,Nagüeles,houses,"4 bedroom villa for sale, Nagueles, Marbella Milla de Oro, Malaga Costa del Sol, Andalucia","Bedrooms: 4, Bathrooms: 3, Floor Size (m2): 133, Plot Size (m2): 1,811, Swimming Pool, Air Conditioning",1.0,0.0,0.0
49,134124,Golden Mile,apartments,"2 bedroom apartment for sale, Mansion Club, Marbella Golden Mile, Malaga Costa del Sol","Bedrooms: 2, Bathrooms: 2, Floor Size (m2): 163, Work Required: None, Swimming Pool, Jacuzzi, Gym, Garage, Parking",1.0,0.0,1.0
50,134252,Nagüeles,houses,"3 bedroom villa for sale, Nagueles, Marbella Milla De Oro, Malaga Costa del Sol, Andalucia","Bedrooms: 3, Bathrooms: 2, Floor Size (m2): 159, Plot Size (m2): 440, Swimming Pool, Balcony, Air Conditioning, Parking",1.0,0.0,0.0
51,134273,Nagüeles,houses,"4 bedroom townhouse for sale, Solana de Nagueles, Marbella Milla de Oro, Malaga Costa del Sol, Andalucia","Bedrooms: 4, Bathrooms: 4, Floor Size (m2): 284, Plot Size (m2): 186, Work Required: None, Swimming Pool, Balcony, Jacuzzi, Garage",1.0,0.0,1.0
52,134363,Nagüeles,houses,"3 bedroom townhouse for sale, Rocio de Nagueles, Marbella Milla de Oro, Malaga Costa del Sol, Andalucia","Bedrooms: 3, Bathrooms: 3, Floor Size (m2): 168, Plot Size (m2): 223, Work Required: None, Swimming Pool",1.0,0.0,0.0
53,134574,Nagüeles,houses,"3 bedroom townhouse for sale, Nagueles, Marbella Golden Mile, Malaga Costa del Sol","Bedrooms: 3, Bathrooms: 2, Floor Size (m2): 147, Plot Size (m2): 143, Work Required: None, Swimming Pool, Air Conditioning, Jacuzzi, Garage",1.0,0.0,1.0
54,134581,Nagüeles,houses,"3 bedroom townhouse for sale, Nagueles, Marbella Ciudad y Milla de Oro, Malaga Costa del Sol, Andalucia","Bedrooms: 3, Bathrooms: 2, Floor Size (m2): 170, Plot Size (m2): 220, Work Required: None, Swimming Pool, Jacuzzi",1.0,0.0,0.0
55,137331,Golden Mile,houses,"Luxury Marbella Golden Mile villa, close to amenities and the beach","Fitted Wardrobes,   Private Terrace,   Covered Terrace,   Guest Apartment,   Jacuzzi,   Fireplace,   Air conditioning,   Central heating,   Amenities near,   Garden view,   Mountain view,   Pool view,   Fully furnished,   Fully fitted kitchen,   Sea view,   Close to Golf,   Close to port,   Close to schools,   Close to Sea/Beach,   Close to shops,   Close to town,   Uncovered terrace,   Excellent condition,   Marble floors,   Laundry room,   Recently Renovated/Refurbished,   Dolby Stereo Surround system",1.0,1.0,0.0
56,137573,Nagüeles,houses,"3 bedroom townhouse for sale in prime location, Nagueles, Marbella Golden Mile","Fully fitted kitchen, Alarm, Dining room, Living room, Gated community, Beachside, Security entrance, Sea view, Fitted wardrobes, Air conditioning, Marble floors, Private terrace, Covered terrace, Garden view, Amenities near",0.0,1.0,0.0
57,137595,Nagüeles,houses,Rustic Style villa for sale in Nagueles a few minutes away from Marbella Centre,"Fully fitted kitchen, Utility room, Fireplace, Sauna, Guest room, Storage room, Gym, Alarm, Solarium, Security entrance, Double glazing, Barbeque, Telephone, Private terrace, Wall-to-wall carpet, Amenities near, Separate apartment, Mountain view, Transport near, Internet - Wifi, Covered terrace, Fitted wardrobes, Air conditioning, Central heating, Underfloor heating (partial), Uncovered terrace",0.0,0.0,0.0
58,138133,Nagüeles,apartments,"Apartment for sale in Hacienda Nagüeles II, Marbella Golden Mile. Hacienda Nagueles Golden Mile, Marbella","Air conditioning, Alarm, Amenities near, Double glazing, Fully fitted kitchen, Fully furnished",0.0,0.0,0.0
59,138136,Nagüeles,apartments,"Apartment for sale in Costa Nagüeles III, Marbella Golden Mile. Cosy apartment Marbella centre","24h Service, Air conditioning, Amenities near, Covered terrace, Dining room, Fitted wardrobes, Fully fitted kitchen, Garden view, Gated community, Lift, Living room, Marble floors, Private terrace, Sea view, Security service 24h, Storage room, Transport near",0.0,1.0,0.0
60,138247,Nagüeles,houses,Lovely House in Cortijo de Nagüeles,,0.0,0.0,0.0
61,138255,Nagüeles,apartments,"Ground Floor Apartment for sale in Costa Nagüeles I, Marbella Golden Mile. Lovely sunny  ground floor","24h Service, Air conditioning, Amenities near, Covered terrace, Garden view, Laundry room",0.0,0.0,0.0
62,138354,Nagüeles,plots,"Plot for sale in Rocio de Nagüeles, Marbella Golden Mile. Plots at Marbella Golden Mile Opportunity to buid your own project",,0.0,0.0,0.0
63,138378,Nagüeles,apartments,Apartment in Hacienda de Nagüeles,,0.0,0.0,0.0
64,138395,Nagüeles,apartments,Penthouse Duplex apartment for sale in Single Homes Nagueles,,0.0,0.0,0.0
65,138413,Nagüeles,apartments,"Duplex in Nagüeles, Marbella Golden Mile",,0.0,0.0,0.0
66,138449,Nagüeles,houses,"Rocio de Nagüeles, Modern villa in the heart of the Golden Mile with sea views","SOUTH FACING MODERN STYLE VILLA IN ROCIO DE NAGÜELES, SPECTACULAR SEA VIEWS, APPROXIMATELY 2,3 KMS TO MARBELLA CENTRE AND THE BEACH, OUTDOOR POOL WITH ELECTRIC COVER AND PARTIALLY HEATED, PARKING FOR 4-5 CARS, ALARM SYSTEM, SURVEILLANCE CAMERAS, SECURITY WINDOWS, ELECTRIC SHUTTERS IN BEDROOMS , A/C HOT AND COLD, ELECTRIC UNDERFLOOR HEATING IN BATHROOMS , SOLAR PANELS FOR HEATING, WATER UNDER FLOOR HEATING IN LIVING AREAS ON THE GROUND AND FIRST FLOOR, ALUMINUM CARPENTRY , SOUND SYSTEM, PRE-INSTALLATION FOR ELEVATOR, 2 WATER TANKS, WATER SOFTENER",1.0,1.0,0.0
67,138452,Nagüeles,houses,"Semi Detached House for sale in Nagüeles, Marbella Golden Mile. Charming Townhouse in Corona de Nagueles on Marbella Golden Mile","Air conditioning, Amenities near, Barbeque, Brand new, Central heating, Covered terrace, Dining room, Fireplace, Fitted wardrobes, Fully fitted kitchen, Garden view, Gated community, Guest room, Guest toilet, Living room, Marble floors, Pool view, Private terrace, Solarium, Transport near, Utility room",1.0,0.0,0.0
68,138456,Nagüeles,apartments,"Apartment for sale in Hacienda Nagüeles I, Marbella Golden Mile. Apartment in Hacienda Nagüeles","24h Service, Air conditioning, Amenities near, Central heating, Close to Sea/Beach, Close to schools, Close to shops, Close to town, Covered terrace, Dining room, Double glazing, Electric blinds, Fitted wardrobes, Fully fitted kitchen, Gated community, Good condition, Guest room, Guest toilet, Lift, Living room, Marble floors, Private terrace, Sea view, Security service 24h, Storage room, Tennis / paddle court, Transport near",0.0,1.0,0.0
69,138460,Nagüeles,houses,Townhouse in La Corona de Nagüeles,,0.0,0.0,0.0
70,138518,Nagüeles,houses,"Town House for sale in Corona de Nagüeles, Marbella Golden Mile. Andalusian Inscripted Townhouse","Close to Sea/Beach, Close to schools, Close to town, Dining room, Fully fitted kitchen, Living room, Marble floors, Open plan kitchen, Private terrace, Transport near",0.0,0.0,0.0
71,138523,Nagüeles,houses,"Nagüeles, Mountainside Townhouse","EAST FACING TOWNHOUSE WITH MOUNTAIN VIEWS, WITHIN SECURE DEVELOPMENT WITH CONCIERGE SERVICE, SHORT DRIVING DISTANCE TO MARBELLA AND PUERTO BANUS, COMMUNAL GARDENS, SWIMMING POOLS AND PADDLE COURT, MULTI-PURPOSE ROOM IN BASEMENT , 2 UNDERGROUND GARAGE SPACES, STORAGE ROOM, AIR CONDITIONING WITH HEAT PUMP, CHIMNEY, MARBLE FLOORS THROUGHOUT EXCEPT KITCHEN AND TERRACE",1.0,0.0,1.0
72,138534,Nagüeles,houses,"Rocio de Nagüeles, House in Rocio de Nagüeles","FAMILY VILLA IN ROCIO DE NAGUELES, APPROXIMATELY 2,9 KMS FROM THE MARBELLA CENTRE AND THE BEACH, SEA AND MOUNTAIN VIEWS, AIR CONDITIONING ON THE GROUND FLOOR AND MASTER BEDROOM, ELECTRIC UNDER FLOOR HEATING IN BATHROOMS, LOW POWER CONSUMPTION HEATING, EXTERIOR COVERED PARKING FOR 2 CARS , STORAGE /WINE CELLAR, SOLAR PANELS FOR HOT WATER",0.0,0.0,0.0
73,138574,Nagüeles,apartments,"Duplex Penthouse for sale in Hacienda Nagüeles I, Marbella Golden Mile. Duplex Penthouse in Hacienda de Nagüeles","24h Service, Air conditioning, Amenities near, Dining room, Fitted wardrobes, Fully fitted kitchen, Fully furnished, Gated community, Guest toilet, Laundry room, Living room, Marble floors, Mountain view, Private terrace, Sea view, Security service 24h, Solarium, Storage room, Tennis / paddle court, Transport near",0.0,1.0,0.0
74,138629,Nagüeles,apartments,"Duplex Penthouse for sale in Hacienda Nagüeles I, Marbella Golden Mile. Attic for rent in Hacienda de Nagüeles, Marbella Golden ",,0.0,0.0,0.0
75,138638,Nagüeles,houses,"Rocio de Nagüeles, Lovely Villa In the Golden Mile","LOVELY VILLA IN THE HEART OF ROCIO DE NAGUELES, AT APPROXIMATELY 2,3 KMS FROM THE CENTRE OF MARBELLA AND THE BEACH, GARDEN AND POOL VIEWS, PARTIAL SEA VIEWS FROM THE UPPER FLOOR, 1 CAR GARAGE, AIR CONDITIONING, WATER UNDERFLOOR HEATING, HEATED INDOOR SWIMMING POOL, SAUNA, PRIVATE GARDEN WITH OUTDOOR POOL",1.0,1.0,1.0
76,138655,Nagüeles,apartments,"Nagüeles, Splendid duplex penthouse with sea views","SPLENDID DUPLEX PENTHOUSE IN LUXURY DEVELOPMENT, LOCATED ON THE GOLDEN MILE, APPROX. 5 KMS FROM PUERTO BANÚS, SOUTHWEST ORIENTATION AND SEA VIEWS, TWO GARAGE SPACES AND STORE ROOM, A/C (HOT & COLD), PARQUET FLOORING THROUGHOUT, COMMUNAL SWIMMING POOL AND GARDENS, FULLY FURNISHED KITCHEN, SATELLITE T.V, ALARM SYSTEM, DOUBLE GLAZED WINDOWS",1.0,1.0,1.0
77,138682,Golden Mile,apartments,"Ground Floor Apartment for sale in Mansion Club, Marbella Golden Mile. Ground floor in Mansion Club","24h Service, Air conditioning, Central heating, Covered terrace, Dining room, Fitted wardrobes, Fully fitted kitchen, Garden view, Gated community, Gym, Indoor pool, Jacuzzi, Kitchen equipped, Lift, Living room, Marble floors, Pool view, Private terrace, Sauna, Security service 24h, Storage room, Video entrance",1.0,0.0,0.0
78,138731,Golden Mile,apartments,"Ground Floor Apartment for sale in Mansion Club, Marbella Golden Mile. Magnificient apartment in Mansion Club, Marbella Golden M","24h Service, Air conditioning, Brand new, Central heating, Close to schools, Close to town, Covered terrace, Dining room, Double glazing, Excellent condition, Fitted wardrobes, Fully fitted kitchen, Garden view, Gated community, Gym, Heated pool, Indoor pool, Internet - Wifi, Lift, Living room, Marble floors, Mountainside, Private terrace, SPA, Sauna, Sea view, Security entrance, Security service 24h, Storage room, Video entrance",1.0,1.0,0.0
79,138768,Nagüeles,apartments,"Apartment for sale in El Retiro de Nagüeles, Marbella Golden Mile. Luxury modern apartment in Retiro de Nagueles for an incredib","Air conditioning, Alarm, Close to schools, Close to town, Covered terrace, Dining room, Double glazing, Electric blinds, Excellent condition, Fitted wardrobes, Fully fitted kitchen, Gated community, Guest toilet, Lift, Marble floors, Mountain view, Mountainside, Private terrace, Sea view, Storage room, Surveillance cameras, Unfurnished, Video entrance, Wooden floors",0.0,1.0,0.0
80,138771,Golden Mile,apartments,"Apartment for sale in Mansion Club, Marbella Golden Mile. Nice apartment in Mansion Club, Marbella Golden Mile","Air conditioning, Fitted wardrobes, Fully fitted kitchen, Garden view, Gated community, Gym, Heated pool, Home automation system, Indoor pool, Jacuzzi, Lift, Private terrace, Sea view, Underfloor heating (throughout)",1.0,1.0,0.0
81,138830,Golden Mile,apartments,"Apartment for sale in Mansion Club, Marbella Golden Mile. Completely new apartment in Mansion Club","Air conditioning, Alarm, Amenities near, Bars, Covered terrace, Dining room, Double glazing, Fitted wardrobes, Fully fitted kitchen, Garden view, Gated community, Gym, Heated pool, Home automation system, Lift, Marble floors, Private terrace, Sauna, Sea view, Security entrance, Security service 24h, Underfloor heating (throughout)",1.0,1.0,0.0
82,138856,Nagüeles,houses,"Villa for sale in Nagüeles, Marbella Golden Mile. Charming white dashed villa fully refurbished in Nagueles","Air conditioning, Automatic irrigation system, Brand new, Close to schools, Close to town, Covered terrace, Dining room, Double glazing, Fireplace, Fitted wardrobes, Fully fitted kitchen, Garden view, Guest toilet, Living room, Marble floors, Mountainside, Uncovered terrace, Underfloor heating (bathrooms), Underfloor heating (partial), Video entrance",0.0,0.0,0.0
83,138877,Golden Mile,apartments,"Apartment for sale in Las Cañas Beach, Marbella Golden Mile. Nice furnished apartment","Air conditioning, Alarm, Amenities near, Barbeque, Covered terrace, Dining room, Electric blinds, Fireplace, Fitted wardrobes, Fully fitted kitchen, Fully furnished, Garden view, Gated community, Laundry room, Lift, Living room, Marble floors, Pool view, Private terrace, Security entrance, Security service 24h, Security shutters, Transport near, Utility room",1.0,0.0,0.0
84,138885,Golden Mile,apartments,"Apartment for sale in Mansion Club, Marbella Golden Mile. Apartment in Mansion Club","Air conditioning, Central heating, Covered terrace, Dining room, Double glazing, Fireplace, Fitted wardrobes, Fully fitted kitchen, Garden view, Gated community, Gym, Heated pool, Indoor pool, Internet - Wifi, Jacuzzi, Kitchen equipped, Laundry room, Lift, Living room, Marble floors, Mountainside, Pool view, Private terrace, Sauna, Security entrance, Security service 24h, Storage room, Video entrance",1.0,0.0,0.0
85,138887,Nagüeles,apartments,"Ground Floor Apartment for sale in Nagüeles, Marbella Golden Mile. Ground floor in Retiro Nagüeles","Air conditioning, Central heating, Close to schools, Covered terrace, Dining room, Double glazing, Excellent condition, Fully fitted kitchen, Gated community, Internet - Wifi, Laundry room, Lift, Living room, Pool view, Private terrace, Security entrance, Storage room, Wooden floors",1.0,0.0,0.0
86,138913,Golden Mile,apartments,"Apartment for sale in Las Cañas Beach, Marbella Golden Mile. Apartment in Las Cañas","24h Service, Air conditioning, Alarm, Amenities near, Barbeque, Central heating, Covered terrace, Dining room, Fireplace, Fitted wardrobes, Front line beach, Fully fitted kitchen, Gated community, Laundry room, Lift, Living room, Marble floors, Security service 24h, Transport near",0.0,0.0,0.0
87,138939,Nagüeles,apartments,"Apartment for sale in Nagüeles, Marbella Golden Mile. Retiro de nagueles, luxury Apartmernt  in Marbella.","Air conditioning, Alarm, Amenities near, Fully fitted kitchen, Fully furnished, Guest room, Guest toilet, Mountain view, Parquet floors, Private terrace, Satellite TV, Sea view, Telephone, Utility room, Video entrance",0.0,1.0,0.0
88,138998,Golden Mile,apartments,"Penthouse for sale in Mansion Club, Marbella Golden Mile. Penthouse in Mansion Club, Marbella Golden Mile","24h Service, Air conditioning, Basement, Central heating, Covered terrace, Dining room, Fitted wardrobes, Fully fitted kitchen, Gym, Heated pool, Indoor pool, Internet - Wifi, Jacuzzi, Kitchen equipped, Lift, Living room, Marble floors, Mountainside, Pool view, Private terrace, Sauna, Sea view, Utility room",1.0,1.0,0.0
89,139021,Golden Mile,apartments,"Beach Side Golden Mile, Duplex Penthouse in Alhambra del Mar","DUPLEX PENTHOUSE IN BEACHFRONT DEVELOPMENT, NEXT TO 5-STAR MELIA DON PEPE HOTEL , 30 METRES WALK TO THE BEACH, WITHIN WALKING DISTANCE TO MARBELLA CENTRE, VIEWS OF THE BEAUTIFUL GARDENS WITH SWIMMING POOL, THE THREE BEDROOMS HAVE BATHROOMS EN SUITE, OFF STREET PARKING, AIR CONDITIONING",1.0,0.0,0.0
90,139025,Nagüeles,apartments,Penthouse for sale in Marbella Golden Mile. Penthouse in Nagüeles,"Air conditioning, Brand new, Central heating, Dining room, Fireplace, Fitted wardrobes, Garden view, Gated community, Kitchen equipped, Laundry room, Lift, Marble floors, Pool view, Private terrace, Security service 24h, Utility room",1.0,0.0,0.0
91,139050,Nagüeles,houses,"Rocio de Nagüeles, Villa in Rocio de Nagueles","OUTSTANDING VILLA IN SECLUDED LOCATION WITH SEA VIEWS, APPROXIMATELY 2,3KM FROM THE CENTRE OF MARBELLA, CARPORT FOR 3 CARS, LARGE OUTDOOR PARKING SPACE, EXTERIOR AND INTERIOR ALARM SYSTEM, B&amp;O MUSIC AND TV SYSTEM, HOME CINEMA, ELECTRIC UNDER FLOOR HEATING IN THE BATHROOMS, GAS UNDER FLOOR HEATING IN THE GUEST WING, GAS TANK, WATER WELL FOR IRRIGATION, WATER TANK, AIR CONDITIONING, PRIVATE MATURE GARDEN WITH SWIMMING POOL",1.0,1.0,0.0
